country, quarter, unit, value$
"Advanced economies", "1999-Q1", "Percentage of GDP", 100.0
"Advanced economies", "1999-Q2", "Percentage of GDP", 100.0
"Advanced economies", "1999-Q3", "Percentage of GDP", 100.0
"Advanced economies", "1999-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2000-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2000-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2000-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2000-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2001-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2001-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2001-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2001-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2002-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2002-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2002-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2002-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2003-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2003-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2003-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2003-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2004-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2004-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2004-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2004-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2005-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2005-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2005-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2005-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2006-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2006-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2006-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2006-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2007-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2007-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2007-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2007-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2008-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2008-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2008-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2008-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2009-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2009-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2009-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2009-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2010-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2010-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2010-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2010-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2011-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2011-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2011-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2011-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2012-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2012-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2012-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2012-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2013-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2013-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2013-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2013-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2014-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2014-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2014-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2014-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2015-Q1", "Percentage of GDP", 100.0
"Advanced economies", "2015-Q2", "Percentage of GDP", 100.0
"Advanced economies", "2015-Q3", "Percentage of GDP", 100.0
"Advanced economies", "2015-Q4", "Percentage of GDP", 100.0
"Advanced economies", "2016-Q1", "Percentage of GDP", 100.0
