country, quarter, unit, value$
"All reporting economies", "2001-Q4", "Percentage of GDP", 61.7
"All reporting economies", "2002-Q1", "Percentage of GDP", 61.8
"All reporting economies", "2002-Q2", "Percentage of GDP", 67.2
"All reporting economies", "2002-Q3", "Percentage of GDP", 66.9
"All reporting economies", "2002-Q4", "Percentage of GDP", 68.2
"All reporting economies", "2003-Q1", "Percentage of GDP", 68.6
"All reporting economies", "2003-Q2", "Percentage of GDP", 69.7
"All reporting economies", "2003-Q3", "Percentage of GDP", 70.0
"All reporting economies", "2003-Q4", "Percentage of GDP", 70.8
"All reporting economies", "2004-Q1", "Percentage of GDP", 72.8
"All reporting economies", "2004-Q2", "Percentage of GDP", 69.9
"All reporting economies", "2004-Q3", "Percentage of GDP", 69.4
"All reporting economies", "2004-Q4", "Percentage of GDP", 72.3
"All reporting economies", "2005-Q1", "Percentage of GDP", 70.0
"All reporting economies", "2005-Q2", "Percentage of GDP", 67.6
"All reporting economies", "2005-Q3", "Percentage of GDP", 65.8
"All reporting economies", "2005-Q4", "Percentage of GDP", 64.4
"All reporting economies", "2006-Q1", "Percentage of GDP", 64.5
"All reporting economies", "2006-Q2", "Percentage of GDP", 64.4
"All reporting economies", "2006-Q3", "Percentage of GDP", 63.7
"All reporting economies", "2006-Q4", "Percentage of GDP", 63.2
"All reporting economies", "2007-Q1", "Percentage of GDP", 62.8
"All reporting economies", "2007-Q2", "Percentage of GDP", 61.0
"All reporting economies", "2007-Q3", "Percentage of GDP", 62.4
"All reporting economies", "2007-Q4", "Percentage of GDP", 62.5
"All reporting economies", "2008-Q1", "Percentage of GDP", 64.7
"All reporting economies", "2008-Q2", "Percentage of GDP", 61.4
"All reporting economies", "2008-Q3", "Percentage of GDP", 58.7
"All reporting economies", "2008-Q4", "Percentage of GDP", 63.3
"All reporting economies", "2009-Q1", "Percentage of GDP", 64.8
"All reporting economies", "2009-Q2", "Percentage of GDP", 71.3
"All reporting economies", "2009-Q3", "Percentage of GDP", 77.3
"All reporting economies", "2009-Q4", "Percentage of GDP", 76.3
"All reporting economies", "2010-Q1", "Percentage of GDP", 74.9
"All reporting economies", "2010-Q2", "Percentage of GDP", 75.0
"All reporting economies", "2010-Q3", "Percentage of GDP", 79.7
"All reporting economies", "2010-Q4", "Percentage of GDP", 79.4
"All reporting economies", "2011-Q1", "Percentage of GDP", 79.5
"All reporting economies", "2011-Q2", "Percentage of GDP", 79.5
"All reporting economies", "2011-Q3", "Percentage of GDP", 78.5
"All reporting economies", "2011-Q4", "Percentage of GDP", 78.0
"All reporting economies", "2012-Q1", "Percentage of GDP", 78.9
"All reporting economies", "2012-Q2", "Percentage of GDP", 79.8
"All reporting economies", "2012-Q3", "Percentage of GDP", 82.6
"All reporting economies", "2012-Q4", "Percentage of GDP", 82.1
"All reporting economies", "2013-Q1", "Percentage of GDP", 80.7
"All reporting economies", "2013-Q2", "Percentage of GDP", 78.9
"All reporting economies", "2013-Q3", "Percentage of GDP", 79.8
"All reporting economies", "2013-Q4", "Percentage of GDP", 79.8
"All reporting economies", "2014-Q1", "Percentage of GDP", 81.2
"All reporting economies", "2014-Q2", "Percentage of GDP", 82.2
