country, value, units, quarter, value$
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2007-Q4", 84.61
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2008-Q1", 86.55
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2008-Q2", 88.72
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2008-Q3", 90.09
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2008-Q4", 89.73
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2009-Q1", 89.15
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2009-Q2", 90.03
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2009-Q3", 91.95
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2009-Q4", 93.93
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2010-Q1", 97.0
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2010-Q2", 99.5
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2010-Q3", 101.16
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2010-Q4", 102.34
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2011-Q1", 102.73
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2011-Q2", 105.49
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2011-Q3", 106.68
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2011-Q4", 108.1
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2012-Q1", 110.32
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2012-Q2", 112.31
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2012-Q3", 113.71
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2012-Q4", 116.14
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2013-Q1", 118.25
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2013-Q2", 120.7
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2013-Q3", 123.33
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2013-Q4", 125.13
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2014-Q1", 127.22
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2014-Q2", 129.07
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2014-Q3", 129.3
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2014-Q4", 129.73
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2015-Q1", 130.84
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2015-Q2", 131.48
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2015-Q3", 132.4
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2015-Q4", 132.87
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2016-Q1", 133.37
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2016-Q2", 136.04
"Emerging market economies", "Nominal", "Index, 2010 = 100", "2016-Q3", 138.31
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2008-Q4", 6.05
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2009-Q1", 3.01
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2009-Q2", 1.47
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2009-Q3", 2.06
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2009-Q4", 4.68
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2010-Q1", 8.8
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2010-Q2", 10.52
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2010-Q3", 10.02
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2010-Q4", 8.95
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2011-Q1", 5.91
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2011-Q2", 6.02
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2011-Q3", 5.46
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2011-Q4", 5.63
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2012-Q1", 7.39
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2012-Q2", 6.47
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2012-Q3", 6.58
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2012-Q4", 7.44
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2013-Q1", 7.19
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2013-Q2", 7.46
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2013-Q3", 8.47
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2013-Q4", 7.74
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2014-Q1", 7.59
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2014-Q2", 6.94
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2014-Q3", 4.84
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2014-Q4", 3.68
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2015-Q1", 2.85
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2015-Q2", 1.87
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2015-Q3", 2.4
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2015-Q4", 2.42
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2016-Q1", 1.93
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2016-Q2", 3.47
"Emerging market economies", "Nominal", "Year-on-year changes, in per cent", "2016-Q3", 4.46
"Emerging market economies", "Real", "Index, 2010 = 100", "2007-Q4", 95.93
"Emerging market economies", "Real", "Index, 2010 = 100", "2008-Q1", 95.45
"Emerging market economies", "Real", "Index, 2010 = 100", "2008-Q2", 95.8
"Emerging market economies", "Real", "Index, 2010 = 100", "2008-Q3", 95.98
"Emerging market economies", "Real", "Index, 2010 = 100", "2008-Q4", 95.53
"Emerging market economies", "Real", "Index, 2010 = 100", "2009-Q1", 94.45
"Emerging market economies", "Real", "Index, 2010 = 100", "2009-Q2", 94.86
"Emerging market economies", "Real", "Index, 2010 = 100", "2009-Q3", 96.13
"Emerging market economies", "Real", "Index, 2010 = 100", "2009-Q4", 97.15
"Emerging market economies", "Real", "Index, 2010 = 100", "2010-Q1", 98.46
"Emerging market economies", "Real", "Index, 2010 = 100", "2010-Q2", 100.16
"Emerging market economies", "Real", "Index, 2010 = 100", "2010-Q3", 101.0
"Emerging market economies", "Real", "Index, 2010 = 100", "2010-Q4", 100.38
"Emerging market economies", "Real", "Index, 2010 = 100", "2011-Q1", 98.55
"Emerging market economies", "Real", "Index, 2010 = 100", "2011-Q2", 100.05
"Emerging market economies", "Real", "Index, 2010 = 100", "2011-Q3", 100.26
"Emerging market economies", "Real", "Index, 2010 = 100", "2011-Q4", 100.53
"Emerging market economies", "Real", "Index, 2010 = 100", "2012-Q1", 101.18
"Emerging market economies", "Real", "Index, 2010 = 100", "2012-Q2", 102.28
"Emerging market economies", "Real", "Index, 2010 = 100", "2012-Q3", 102.73
"Emerging market economies", "Real", "Index, 2010 = 100", "2012-Q4", 103.92
"Emerging market economies", "Real", "Index, 2010 = 100", "2013-Q1", 104.43
"Emerging market economies", "Real", "Index, 2010 = 100", "2013-Q2", 106.0
"Emerging market economies", "Real", "Index, 2010 = 100", "2013-Q3", 106.92
"Emerging market economies", "Real", "Index, 2010 = 100", "2013-Q4", 107.21
"Emerging market economies", "Real", "Index, 2010 = 100", "2014-Q1", 107.94
"Emerging market economies", "Real", "Index, 2010 = 100", "2014-Q2", 108.79
"Emerging market economies", "Real", "Index, 2010 = 100", "2014-Q3", 107.9
"Emerging market economies", "Real", "Index, 2010 = 100", "2014-Q4", 107.39
"Emerging market economies", "Real", "Index, 2010 = 100", "2015-Q1", 106.93
"Emerging market economies", "Real", "Index, 2010 = 100", "2015-Q2", 106.66
"Emerging market economies", "Real", "Index, 2010 = 100", "2015-Q3", 106.36
"Emerging market economies", "Real", "Index, 2010 = 100", "2015-Q4", 105.93
"Emerging market economies", "Real", "Index, 2010 = 100", "2016-Q1", 105.09
"Emerging market economies", "Real", "Index, 2010 = 100", "2016-Q2", 106.65
"Emerging market economies", "Real", "Index, 2010 = 100", "2016-Q3", 107.64
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2008-Q4", -0.42
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2009-Q1", -1.04
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2009-Q2", -0.98
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2009-Q3", 0.16
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2009-Q4", 1.7
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2010-Q1", 4.25
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2010-Q2", 5.59
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2010-Q3", 5.06
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2010-Q4", 3.33
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2011-Q1", 0.09
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2011-Q2", -0.12
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2011-Q3", -0.73
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2011-Q4", 0.15
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2012-Q1", 2.67
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2012-Q2", 2.23
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2012-Q3", 2.46
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2012-Q4", 3.37
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2013-Q1", 3.21
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2013-Q2", 3.64
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2013-Q3", 4.08
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2013-Q4", 3.17
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2014-Q1", 3.36
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2014-Q2", 2.64
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2014-Q3", 0.92
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2014-Q4", 0.17
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2015-Q1", -0.93
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2015-Q2", -1.96
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2015-Q3", -1.43
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2015-Q4", -1.36
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2016-Q1", -1.72
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2016-Q2", -0.01
"Emerging market economies", "Real", "Year-on-year changes, in per cent", "2016-Q3", 1.2
"Advanced economies", "Nominal", "Index, 2010 = 100", "2007-Q4", 110.77
"Advanced economies", "Nominal", "Index, 2010 = 100", "2008-Q1", 109.04
"Advanced economies", "Nominal", "Index, 2010 = 100", "2008-Q2", 107.04
"Advanced economies", "Nominal", "Index, 2010 = 100", "2008-Q3", 104.49
"Advanced economies", "Nominal", "Index, 2010 = 100", "2008-Q4", 100.94
"Advanced economies", "Nominal", "Index, 2010 = 100", "2009-Q1", 98.55
"Advanced economies", "Nominal", "Index, 2010 = 100", "2009-Q2", 98.32
"Advanced economies", "Nominal", "Index, 2010 = 100", "2009-Q3", 99.24
"Advanced economies", "Nominal", "Index, 2010 = 100", "2009-Q4", 99.71
"Advanced economies", "Nominal", "Index, 2010 = 100", "2010-Q1", 100.05
"Advanced economies", "Nominal", "Index, 2010 = 100", "2010-Q2", 100.41
"Advanced economies", "Nominal", "Index, 2010 = 100", "2010-Q3", 99.97
"Advanced economies", "Nominal", "Index, 2010 = 100", "2010-Q4", 99.56
"Advanced economies", "Nominal", "Index, 2010 = 100", "2011-Q1", 99.16
"Advanced economies", "Nominal", "Index, 2010 = 100", "2011-Q2", 99.26
"Advanced economies", "Nominal", "Index, 2010 = 100", "2011-Q3", 99.71
"Advanced economies", "Nominal", "Index, 2010 = 100", "2011-Q4", 99.09
"Advanced economies", "Nominal", "Index, 2010 = 100", "2012-Q1", 99.48
"Advanced economies", "Nominal", "Index, 2010 = 100", "2012-Q2", 100.54
"Advanced economies", "Nominal", "Index, 2010 = 100", "2012-Q3", 101.31
"Advanced economies", "Nominal", "Index, 2010 = 100", "2012-Q4", 101.93
"Advanced economies", "Nominal", "Index, 2010 = 100", "2013-Q1", 102.79
"Advanced economies", "Nominal", "Index, 2010 = 100", "2013-Q2", 104.49
"Advanced economies", "Nominal", "Index, 2010 = 100", "2013-Q3", 106.08
"Advanced economies", "Nominal", "Index, 2010 = 100", "2013-Q4", 106.87
"Advanced economies", "Nominal", "Index, 2010 = 100", "2014-Q1", 107.79
"Advanced economies", "Nominal", "Index, 2010 = 100", "2014-Q2", 108.82
"Advanced economies", "Nominal", "Index, 2010 = 100", "2014-Q3", 110.07
"Advanced economies", "Nominal", "Index, 2010 = 100", "2014-Q4", 110.61
"Advanced economies", "Nominal", "Index, 2010 = 100", "2015-Q1", 111.89
"Advanced economies", "Nominal", "Index, 2010 = 100", "2015-Q2", 113.27
"Advanced economies", "Nominal", "Index, 2010 = 100", "2015-Q3", 114.76
"Advanced economies", "Nominal", "Index, 2010 = 100", "2015-Q4", 115.34
"Advanced economies", "Nominal", "Index, 2010 = 100", "2016-Q1", 116.87
"Advanced economies", "Nominal", "Index, 2010 = 100", "2016-Q2", 118.7
"Advanced economies", "Nominal", "Index, 2010 = 100", "2016-Q3", 120.53
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2008-Q4", -8.87
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2009-Q1", -9.63
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2009-Q2", -8.14
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2009-Q3", -5.03
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2009-Q4", -1.22
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2010-Q1", 1.53
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2010-Q2", 2.12
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2010-Q3", 0.74
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2010-Q4", -0.15
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2011-Q1", -0.89
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2011-Q2", -1.15
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2011-Q3", -0.26
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2011-Q4", -0.47
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2012-Q1", 0.32
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2012-Q2", 1.29
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2012-Q3", 1.6
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2012-Q4", 2.86
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2013-Q1", 3.32
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2013-Q2", 3.93
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2013-Q3", 4.71
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2013-Q4", 4.85
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2014-Q1", 4.86
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2014-Q2", 4.14
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2014-Q3", 3.76
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2014-Q4", 3.5
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2015-Q1", 3.81
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2015-Q2", 4.08
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2015-Q3", 4.26
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2015-Q4", 4.28
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2016-Q1", 4.45
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2016-Q2", 4.8
"Advanced economies", "Nominal", "Year-on-year changes, in per cent", "2016-Q3", 5.03
"Advanced economies", "Real", "Index, 2010 = 100", "2007-Q4", 114.86
"Advanced economies", "Real", "Index, 2010 = 100", "2008-Q1", 112.25
"Advanced economies", "Real", "Index, 2010 = 100", "2008-Q2", 108.26
"Advanced economies", "Real", "Index, 2010 = 100", "2008-Q3", 104.82
"Advanced economies", "Real", "Index, 2010 = 100", "2008-Q4", 102.63
"Advanced economies", "Real", "Index, 2010 = 100", "2009-Q1", 100.83
"Advanced economies", "Real", "Index, 2010 = 100", "2009-Q2", 99.76
"Advanced economies", "Real", "Index, 2010 = 100", "2009-Q3", 100.47
"Advanced economies", "Real", "Index, 2010 = 100", "2009-Q4", 100.67
"Advanced economies", "Real", "Index, 2010 = 100", "2010-Q1", 100.75
"Advanced economies", "Real", "Index, 2010 = 100", "2010-Q2", 100.33
"Advanced economies", "Real", "Index, 2010 = 100", "2010-Q3", 99.93
"Advanced economies", "Real", "Index, 2010 = 100", "2010-Q4", 98.99
"Advanced economies", "Real", "Index, 2010 = 100", "2011-Q1", 97.81
"Advanced economies", "Real", "Index, 2010 = 100", "2011-Q2", 96.51
"Advanced economies", "Real", "Index, 2010 = 100", "2011-Q3", 96.82
"Advanced economies", "Real", "Index, 2010 = 100", "2011-Q4", 95.9
"Advanced economies", "Real", "Index, 2010 = 100", "2012-Q1", 95.82
"Advanced economies", "Real", "Index, 2010 = 100", "2012-Q2", 96.0
"Advanced economies", "Real", "Index, 2010 = 100", "2012-Q3", 96.71
"Advanced economies", "Real", "Index, 2010 = 100", "2012-Q4", 96.96
"Advanced economies", "Real", "Index, 2010 = 100", "2013-Q1", 97.57
"Advanced economies", "Real", "Index, 2010 = 100", "2013-Q2", 98.54
"Advanced economies", "Real", "Index, 2010 = 100", "2013-Q3", 99.82
"Advanced economies", "Real", "Index, 2010 = 100", "2013-Q4", 100.46
"Advanced economies", "Real", "Index, 2010 = 100", "2014-Q1", 101.08
"Advanced economies", "Real", "Index, 2010 = 100", "2014-Q2", 100.9
"Advanced economies", "Real", "Index, 2010 = 100", "2014-Q3", 102.08
"Advanced economies", "Real", "Index, 2010 = 100", "2014-Q4", 102.92
"Advanced economies", "Real", "Index, 2010 = 100", "2015-Q1", 104.7
"Advanced economies", "Real", "Index, 2010 = 100", "2015-Q2", 104.83
"Advanced economies", "Real", "Index, 2010 = 100", "2015-Q3", 106.23
"Advanced economies", "Real", "Index, 2010 = 100", "2015-Q4", 106.93
"Advanced economies", "Real", "Index, 2010 = 100", "2016-Q1", 108.72
"Advanced economies", "Real", "Index, 2010 = 100", "2016-Q2", 109.3
"Advanced economies", "Real", "Index, 2010 = 100", "2016-Q3", 110.85
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2008-Q4", -10.64
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2009-Q1", -10.17
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2009-Q2", -7.85
"Advanced economies", "Real", "Year-on-year changes, in per cent", "2009-Q3", -4.15
