country, quarter, value$
"Australia", "1967-Q4", 1.8
"Australia", "1968-Q1", 1.9
"Australia", "1968-Q2", 1.9
"Australia", "1968-Q3", 1.8
"Australia", "1968-Q4", 1.7
"Australia", "1969-Q1", 1.8
"Australia", "1969-Q2", 1.8
"Australia", "1969-Q3", 1.7
"Australia", "1969-Q4", 1.9
"Australia", "1970-Q1", 1.6
"Australia", "1970-Q2", 1.7
"Australia", "1970-Q3", 1.7
"Australia", "1970-Q4", 1.6
"Australia", "1971-Q1", 1.7
"Australia", "1971-Q2", 1.9
"Australia", "1971-Q3", 1.9
"Australia", "1971-Q4", 2.2
"Australia", "1972-Q1", 2.4
"Australia", "1972-Q2", 2.4
"Australia", "1972-Q3", 2.9
"Australia", "1972-Q4", 2.8
"Australia", "1973-Q1", 2.6
"Australia", "1973-Q2", 2.3
"Australia", "1973-Q3", 2.1
"Australia", "1973-Q4", 2.1
"Australia", "1974-Q1", 2.1
"Australia", "1974-Q2", 2.1
"Australia", "1974-Q3", 2.7
"Australia", "1974-Q4", 4.0
"Australia", "1975-Q1", 4.8
"Australia", "1975-Q2", 4.8
"Australia", "1975-Q3", 4.7
"Australia", "1975-Q4", 5.4
"Australia", "1976-Q1", 4.9
"Australia", "1976-Q2", 4.5
"Australia", "1976-Q3", 4.8
"Australia", "1976-Q4", 4.9
"Australia", "1977-Q1", 5.2
"Australia", "1977-Q2", 5.6
"Australia", "1977-Q3", 5.8
"Australia", "1977-Q4", 5.9
"Australia", "1978-Q1", 6.6
"Australia", "1978-Q2", 6.263078
"Australia", "1978-Q3", 6.315743
"Australia", "1978-Q4", 6.295003
"Australia", "1979-Q1", 6.333507
"Australia", "1979-Q2", 6.323567
"Australia", "1979-Q3", 6.184192
"Australia", "1979-Q4", 6.17396
"Australia", "1980-Q1", 6.048161
"Australia", "1980-Q2", 6.23707
"Australia", "1980-Q3", 6.110481
"Australia", "1980-Q4", 5.975318
"Australia", "1981-Q1", 5.780103
"Australia", "1981-Q2", 5.51028
"Australia", "1981-Q3", 5.818088
"Australia", "1981-Q4", 5.956833
"Australia", "1982-Q1", 6.222385
"Australia", "1982-Q2", 6.569216
"Australia", "1982-Q3", 7.124563
"Australia", "1982-Q4", 8.795985
"Australia", "1983-Q1", 9.65216
"Australia", "1983-Q2", 10.23251
"Australia", "1983-Q3", 10.36909
"Australia", "1983-Q4", 9.713341
"Australia", "1984-Q1", 9.382799
"Australia", "1984-Q2", 9.135207
"Australia", "1984-Q3", 8.795859
"Australia", "1984-Q4", 8.638035
"Australia", "1985-Q1", 8.556499
"Australia", "1985-Q2", 8.442018
"Australia", "1985-Q3", 8.154243
"Australia", "1985-Q4", 7.869841
"Australia", "1986-Q1", 7.933728
"Australia", "1986-Q2", 7.788263
"Australia", "1986-Q3", 8.226896
"Australia", "1986-Q4", 8.345164
"Australia", "1987-Q1", 8.293167
"Australia", "1987-Q2", 8.161909
"Australia", "1987-Q3", 7.983856
"Australia", "1987-Q4", 7.933578
"Australia", "1988-Q1", 7.523725
"Australia", "1988-Q2", 7.628427
"Australia", "1988-Q3", 6.922505
"Australia", "1988-Q4", 6.773477
"Australia", "1989-Q1", 6.604721
"Australia", "1989-Q2", 6.16398
"Australia", "1989-Q3", 6.036088
"Australia", "1989-Q4", 5.868758
"Australia", "1990-Q1", 6.229981
"Australia", "1990-Q2", 6.472065
"Australia", "1990-Q3", 7.221888
"Australia", "1990-Q4", 7.87536
"Australia", "1991-Q1", 8.732803
"Australia", "1991-Q2", 9.643769
"Australia", "1991-Q3", 9.860147
"Australia", "1991-Q4", 10.20346
"Australia", "1992-Q1", 10.42683
"Australia", "1992-Q2", 10.66599
"Australia", "1992-Q3", 10.83057
"Australia", "1992-Q4", 11.10747
"Australia", "1993-Q1", 10.8911
"Australia", "1993-Q2", 10.88175
"Australia", "1993-Q3", 10.90468
"Australia", "1993-Q4", 10.83863
"Australia", "1994-Q1", 10.46066
"Australia", "1994-Q2", 9.915887
"Australia", "1994-Q3", 9.459801
"Australia", "1994-Q4", 9.021998
"Australia", "1995-Q1", 8.753018
"Australia", "1995-Q2", 8.395209
"Australia", "1995-Q3", 8.37453
"Australia", "1995-Q4", 8.375109
"Australia", "1996-Q1", 8.399884
"Australia", "1996-Q2", 8.438324
"Australia", "1996-Q3", 8.582073
"Australia", "1996-Q4", 8.621325
"Australia", "1997-Q1", 8.600101
"Australia", "1997-Q2", 8.488958
"Australia", "1997-Q3", 8.346249
"Australia", "1997-Q4", 7.984796
"Australia", "1998-Q1", 7.843651
"Australia", "1998-Q2", 7.722229
"Australia", "1998-Q3", 7.77533
"Australia", "1998-Q4", 7.378954
"Australia", "1999-Q1", 7.081152
"Australia", "1999-Q2", 6.861847
"Australia", "1999-Q3", 6.883328
"Australia", "1999-Q4", 6.626046
"Australia", "2000-Q1", 6.669539
"Australia", "2000-Q2", 6.271945
"Australia", "2000-Q3", 5.996909
"Australia", "2000-Q4", 6.157544
"Australia", "2001-Q1", 6.375507
"Australia", "2001-Q2", 6.841066
"Australia", "2001-Q3", 6.873919
"Australia", "2001-Q4", 6.961308
"Australia", "2002-Q1", 6.650852
"Australia", "2002-Q2", 6.382853
"Australia", "2002-Q3", 6.276542
"Australia", "2002-Q4", 6.143695
"Australia", "2003-Q1", 6.05746
"Australia", "2003-Q2", 6.036668
"Australia", "2003-Q3", 5.894444
"Australia", "2003-Q4", 5.708356
"Australia", "2004-Q1", 5.538242
"Australia", "2004-Q2", 5.425604
"Australia", "2004-Q3", 5.469831
"Australia", "2004-Q4", 5.128647
"Australia", "2005-Q1", 5.086622
"Australia", "2005-Q2", 5.044584
"Australia", "2005-Q3", 4.954368
"Australia", "2005-Q4", 5.02449
"Australia", "2006-Q1", 5.028229
"Australia", "2006-Q2", 4.837932
"Australia", "2006-Q3", 4.685586
"Australia", "2006-Q4", 4.531584
"Australia", "2007-Q1", 4.524817
"Australia", "2007-Q2", 4.302204
"Australia", "2007-Q3", 4.268681
"Australia", "2007-Q4", 4.362241
"Australia", "2008-Q1", 4.076447
"Australia", "2008-Q2", 4.234746
"Australia", "2008-Q3", 4.200014
"Australia", "2008-Q4", 4.439116
"Australia", "2009-Q1", 5.293501
"Australia", "2009-Q2", 5.70186
"Australia", "2009-Q3", 5.697945
"Australia", "2009-Q4", 5.545611
"Australia", "2010-Q1", 5.333557
"Australia", "2010-Q2", 5.27676
"Australia", "2010-Q3", 5.127365
"Australia", "2010-Q4", 5.064663
"Australia", "2011-Q1", 4.971413
"Australia", "2011-Q2", 4.964658
"Australia", "2011-Q3", 5.18528
"Australia", "2011-Q4", 5.170619
"Australia", "2012-Q1", 5.160476
"Australia", "2012-Q2", 5.131368
"Australia", "2012-Q3", 5.24835
"Australia", "2012-Q4", 5.328444
"Australia", "2013-Q1", 5.482628
"Australia", "2013-Q2", 5.65413
"Australia", "2013-Q3", 5.678814
"Australia", "2013-Q4", 5.802311
"Australia", "2014-Q1", 5.899862
"Australia", "2014-Q2", 5.955614
"Australia", "2014-Q3", 6.175684
"Australia", "2014-Q4", 6.222715
"Australia", "2015-Q1", 6.224501
"Australia", "2015-Q2", 6.058895
"Australia", "2015-Q3", 6.195989
"Australia", "2015-Q4", 5.829678
"Australia", "2016-Q1", 5.821179
"Australia", "2016-Q2", 5.737503
"Australia", "2016-Q3", 5.674047
"Australia", "2016-Q4", 5.714679
"Austria", "1993-Q1", 3.833333
"Austria", "1993-Q2", 3.966667
"Austria", "1993-Q3", 4.033333
"Austria", "1993-Q4", 4.0
"Austria", "1994-Q1", 3.9
"Austria", "1994-Q2", 3.833333
"Austria", "1994-Q3", 3.8
"Austria", "1994-Q4", 3.8
"Austria", "1995-Q1", 3.933333
"Austria", "1995-Q2", 4.1
"Austria", "1995-Q3", 4.366667
"Austria", "1995-Q4", 4.566667
"Austria", "1996-Q1", 4.766667
"Austria", "1996-Q2", 4.8
"Austria", "1996-Q3", 4.7
"Austria", "1996-Q4", 4.6
"Austria", "1997-Q1", 4.666667
"Austria", "1997-Q2", 4.7
"Austria", "1997-Q3", 4.8
"Austria", "1997-Q4", 4.866667
"Austria", "1998-Q1", 4.933333
"Austria", "1998-Q2", 4.833333
"Austria", "1998-Q3", 4.666667
"Austria", "1998-Q4", 4.4
"Austria", "1999-Q1", 4.233333
"Austria", "1999-Q2", 4.2
"Austria", "1999-Q3", 4.033333
"Austria", "1999-Q4", 4.1
"Austria", "2000-Q1", 4.233333
"Austria", "2000-Q2", 3.7
"Austria", "2000-Q3", 3.833333
"Austria", "2000-Q4", 3.766667
"Austria", "2001-Q1", 3.633333
"Austria", "2001-Q2", 4.0
"Austria", "2001-Q3", 4.1
"Austria", "2001-Q4", 4.3
"Austria", "2002-Q1", 4.5
"Austria", "2002-Q2", 4.233333
"Austria", "2002-Q3", 4.4
"Austria", "2002-Q4", 4.433333
"Austria", "2003-Q1", 4.533333
"Austria", "2003-Q2", 4.8
"Austria", "2003-Q3", 4.8
"Austria", "2003-Q4", 5.033333
"Austria", "2004-Q1", 5.633333
"Austria", "2004-Q2", 5.366667
"Austria", "2004-Q3", 5.466667
"Austria", "2004-Q4", 5.5
"Austria", "2005-Q1", 5.433333
"Austria", "2005-Q2", 5.733333
"Austria", "2005-Q3", 5.7
"Austria", "2005-Q4", 5.733333
"Austria", "2006-Q1", 5.733333
"Austria", "2006-Q2", 5.233333
"Austria", "2006-Q3", 5.0
"Austria", "2006-Q4", 4.933333
"Austria", "2007-Q1", 4.933333
"Austria", "2007-Q2", 5.1
"Austria", "2007-Q3", 4.966667
"Austria", "2007-Q4", 4.466667
"Austria", "2008-Q1", 4.2
"Austria", "2008-Q2", 3.9
"Austria", "2008-Q3", 4.033333
"Austria", "2008-Q4", 4.4
"Austria", "2009-Q1", 4.766667
"Austria", "2009-Q2", 5.333333
"Austria", "2009-Q3", 5.7
"Austria", "2009-Q4", 5.5
"Austria", "2010-Q1", 5.033333
"Austria", "2010-Q2", 4.833333
"Austria", "2010-Q3", 4.833333
"Austria", "2010-Q4", 4.5
"Austria", "2011-Q1", 4.8
"Austria", "2011-Q2", 4.5
"Austria", "2011-Q3", 4.133333
"Austria", "2011-Q4", 4.8
"Austria", "2012-Q1", 4.6
"Austria", "2012-Q2", 4.933333
"Austria", "2012-Q3", 5.2
"Austria", "2012-Q4", 5.0
"Austria", "2013-Q1", 5.333333
"Austria", "2013-Q2", 5.133333
"Austria", "2013-Q3", 5.4
"Austria", "2013-Q4", 5.5
"Austria", "2014-Q1", 5.6
"Austria", "2014-Q2", 5.533333
"Austria", "2014-Q3", 5.666667
"Austria", "2014-Q4", 5.666667
"Austria", "2015-Q1", 5.533333
"Austria", "2015-Q2", 5.833333
"Austria", "2015-Q3", 5.633333
"Austria", "2015-Q4", 5.933333
"Austria", "2016-Q1", 6.033333
"Austria", "2016-Q2", 6.066667
"Austria", "2016-Q3", 6.133333
"Austria", "2016-Q4", 5.733333
"Belgium", "1983-Q1", 10.5
"Belgium", "1983-Q2", 10.66667
"Belgium", "1983-Q3", 10.83333
"Belgium", "1983-Q4", 10.96667
"Belgium", "1984-Q1", 10.86667
"Belgium", "1984-Q2", 10.8
"Belgium", "1984-Q3", 10.86667
"Belgium", "1984-Q4", 10.76667
"Belgium", "1985-Q1", 10.53333
"Belgium", "1985-Q2", 10.1
"Belgium", "1985-Q3", 9.9
"Belgium", "1985-Q4", 9.933333
"Belgium", "1986-Q1", 10.1
"Belgium", "1986-Q2", 10.1
