"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q3","Q3-1966","PC","Percentage","0","Units",,,1.8,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1966-Q4","Q4-1966","PC","Percentage","0","Units",,,1.7,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1967-Q1","Q1-1967","PC","Percentage","0","Units",,,1.8,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1967-Q2","Q2-1967","PC","Percentage","0","Units",,,2,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1967-Q3","Q3-1967","PC","Percentage","0","Units",,,1.9,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1967-Q4","Q4-1967","PC","Percentage","0","Units",,,1.8,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1968-Q1","Q1-1968","PC","Percentage","0","Units",,,1.9,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1968-Q2","Q2-1968","PC","Percentage","0","Units",,,1.9,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1968-Q3","Q3-1968","PC","Percentage","0","Units",,,1.8,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1968-Q4","Q4-1968","PC","Percentage","0","Units",,,1.7,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1969-Q1","Q1-1969","PC","Percentage","0","Units",,,1.8,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1969-Q2","Q2-1969","PC","Percentage","0","Units",,,1.8,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1969-Q3","Q3-1969","PC","Percentage","0","Units",,,1.7,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1969-Q4","Q4-1969","PC","Percentage","0","Units",,,1.9,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q1","Q1-1970","PC","Percentage","0","Units",,,1.6,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q2","Q2-1970","PC","Percentage","0","Units",,,1.7,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q3","Q3-1970","PC","Percentage","0","Units",,,1.7,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1970-Q4","Q4-1970","PC","Percentage","0","Units",,,1.6,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1971-Q1","Q1-1971","PC","Percentage","0","Units",,,1.7,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1971-Q2","Q2-1971","PC","Percentage","0","Units",,,1.9,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1971-Q3","Q3-1971","PC","Percentage","0","Units",,,1.9,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1971-Q4","Q4-1971","PC","Percentage","0","Units",,,2.2,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q1","Q1-1972","PC","Percentage","0","Units",,,2.4,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q2","Q2-1972","PC","Percentage","0","Units",,,2.4,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q3","Q3-1972","PC","Percentage","0","Units",,,2.9,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1972-Q4","Q4-1972","PC","Percentage","0","Units",,,2.8,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q1","Q1-1973","PC","Percentage","0","Units",,,2.6,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q2","Q2-1973","PC","Percentage","0","Units",,,2.3,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q3","Q3-1973","PC","Percentage","0","Units",,,2.1,,
"AUS","Australia","LRHUTTTT","Harmonised unemployment rate (monthly), Total, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1973-Q4","Q4-1973","PC","Percentage","0","Units",,,2.1,,
