Dataset,"BIS Selected property prices"
Retrieved on,Thu Feb 16 15:37:05 GMT 2017
Subject,"BIS property prices: selected series"
"Frequency","Quarterly"
"Unit Multiplier","Units"
"Frequency","Reference area","Value","Unit of measure","Time Period","1966-Q1","1966-Q2","1966-Q3","1966-Q4","1967-Q1","1967-Q2","1967-Q3","1967-Q4","1968-Q1","1968-Q2","1968-Q3","1968-Q4","1969-Q1","1969-Q2","1969-Q3","1969-Q4","1970-Q1","1970-Q2","1970-Q3","1970-Q4","1971-Q1","1971-Q2","1971-Q3","1971-Q4","1972-Q1","1972-Q2","1972-Q3","1972-Q4","1973-Q1","1973-Q2","1973-Q3","1973-Q4","1974-Q1","1974-Q2","1974-Q3","1974-Q4","1975-Q1","1975-Q2","1975-Q3","1975-Q4","1976-Q1","1976-Q2","1976-Q3","1976-Q4","1977-Q1","1977-Q2","1977-Q3","1977-Q4","1978-Q1","1978-Q2","1978-Q3","1978-Q4","1979-Q1","1979-Q2","1979-Q3","1979-Q4","1980-Q1","1980-Q2","1980-Q3","1980-Q4","1981-Q1","1981-Q2","1981-Q3","1981-Q4","1982-Q1","1982-Q2","1982-Q3","1982-Q4","1983-Q1","1983-Q2","1983-Q3","1983-Q4","1984-Q1","1984-Q2","1984-Q3","1984-Q4","1985-Q1","1985-Q2","1985-Q3","1985-Q4","1986-Q1","1986-Q2","1986-Q3","1986-Q4","1987-Q1","1987-Q2","1987-Q3","1987-Q4","1988-Q1","1988-Q2","1988-Q3","1988-Q4","1989-Q1","1989-Q2","1989-Q3","1989-Q4","1990-Q1","1990-Q2","1990-Q3","1990-Q4","1991-Q1","1991-Q2","1991-Q3","1991-Q4","1992-Q1","1992-Q2","1992-Q3","1992-Q4","1993-Q1","1993-Q2","1993-Q3","1993-Q4","1994-Q1","1994-Q2","1994-Q3","1994-Q4","1995-Q1","1995-Q2","1995-Q3","1995-Q4","1996-Q1","1996-Q2","1996-Q3","1996-Q4","1997-Q1","1997-Q2","1997-Q3","1997-Q4","1998-Q1","1998-Q2","1998-Q3","1998-Q4","1999-Q1","1999-Q2","1999-Q3","1999-Q4","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3","2016-Q4"
"Q:Quarterly","4T:Emerging market economies","N:Nominal","628:Index, 2010 = 100","Q:4T:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.61","86.55","88.72","90.09","89.73","89.15","90.03","91.95","93.93","97","99.5","101.16","102.34","102.73","105.49","106.68","108.1","110.32","112.31","113.71","116.14","118.25","120.7","123.33","125.13","127.22","129.07","129.3","129.73","130.84","131.48","132.4","132.87","133.37","136.04","138.31",""
"Q:Quarterly","4T:Emerging market economies","N:Nominal","771:Year-on-year changes, in per cent","Q:4T:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05","3.01","1.47","2.06","4.68","8.8","10.52","10.02","8.95","5.91","6.02","5.46","5.63","7.39","6.47","6.58","7.44","7.19","7.46","8.47","7.74","7.59","6.94","4.84","3.68","2.85","1.87","2.4","2.42","1.93","3.47","4.46",""
"Q:Quarterly","4T:Emerging market economies","R:Real","628:Index, 2010 = 100","Q:4T:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.93","95.45","95.8","95.98","95.53","94.45","94.86","96.13","97.15","98.46","100.16","101","100.38","98.55","100.05","100.26","100.53","101.18","102.28","102.73","103.92","104.43","106","106.92","107.21","107.94","108.79","107.9","107.39","106.93","106.66","106.36","105.93","105.09","106.65","107.64",""
"Q:Quarterly","4T:Emerging market economies","R:Real","771:Year-on-year changes, in per cent","Q:4T:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.42","-1.04","-0.98","0.16","1.7","4.25","5.59","5.06","3.33","0.09","-0.12","-0.73","0.15","2.67","2.23","2.46","3.37","3.21","3.64","4.08","3.17","3.36","2.64","0.92","0.17","-0.93","-1.96","-1.43","-1.36","-1.72","-0.01","1.2",""
"Q:Quarterly","5R:Advanced economies","N:Nominal","628:Index, 2010 = 100","Q:5R:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110.77","109.04","107.04","104.49","100.94","98.55","98.32","99.24","99.71","100.05","100.41","99.97","99.56","99.16","99.26","99.71","99.09","99.48","100.54","101.31","101.93","102.79","104.49","106.08","106.87","107.79","108.82","110.07","110.61","111.89","113.27","114.76","115.34","116.87","118.7","120.53",""
"Q:Quarterly","5R:Advanced economies","N:Nominal","771:Year-on-year changes, in per cent","Q:5R:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-8.87","-9.63","-8.14","-5.03","-1.22","1.53","2.12","0.74","-0.15","-0.89","-1.15","-0.26","-0.47","0.32","1.29","1.6","2.86","3.32","3.93","4.71","4.85","4.86","4.14","3.76","3.5","3.81","4.08","4.26","4.28","4.45","4.8","5.03",""
"Q:Quarterly","5R:Advanced economies","R:Real","628:Index, 2010 = 100","Q:5R:R:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.86","112.25","108.26","104.82","102.63","100.83","99.76","100.47","100.67","100.75","100.33","99.93","98.99","97.81","96.51","96.82","95.9","95.82","96","96.71","96.96","97.57","98.54","99.82","100.46","101.08","100.9","102.08","102.92","104.7","104.83","106.23","106.93","108.72","109.3","110.85",""
"Q:Quarterly","5R:Advanced economies","R:Real","771:Year-on-year changes, in per cent","Q:5R:R:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-10.64","-10.17","-7.85","-4.15","-1.91","-0.08","0.57","-0.54","-1.67","-2.91","-3.81","-3.11","-3.12","-2.03","-0.53","-0.11","1.1","1.82","2.65","3.21","3.62","3.61","2.39","2.27","2.44","3.58","3.9","4.07","3.89","3.83","4.27","4.34",""
"Q:Quarterly","AE:United Arab Emirates","N:Nominal","628:Index, 2010 = 100","Q:AE:N:628","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.69","56.88","55.38","56.77","62.75","65.98","68.28","71.16","72.54","73.57","74.73","75.31","80.72","83.7","90.73","90.96","98.56","104.78","114.22","125.51","137.13","146.92","148.88","137.13","124.81","116.4","112.03","110.19","104.89","101.2","98.1","95.8","96.14","96.14","97.76","100.18","102.02","107.19","111.69","117.1","119.13","124.7","133.79","144.95","159.64","169.82","170.33","168.87","162","156.24","152.6","150.25","149.1","150.25","149.9","149.63"
"Q:Quarterly","AE:United Arab Emirates","N:Nominal","771:Year-on-year changes, in per cent","Q:AE:N:771","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.77","16.01","23.3","25.34","15.6","11.51","9.45","5.83","11.28","13.77","21.41","20.78","22.1","25.18","25.89","37.99","39.14","40.22","30.34","9.26","-8.99","-20.77","-24.75","-19.65","-15.96","-13.06","-12.43","-13.06","-8.34","-5","-0.35","4.57","6.11","11.49","14.25","16.89","16.78","16.34","19.79","23.79","34","36.18","27.31","16.5","1.48","-8","-10.41","-11.03","-7.96","-3.83","-1.77","-0.41"
