Dataset,"BIS long series on total credit"
Retrieved on,Thu Mar 02 11:10:41 GMT 2017
Subject,"BIS long series on total credit"
"Frequency","Quarterly"
"Collection Indicator","End of period"
"Frequency","Borrowers' country","Borrowing sector","Lending sector","Valuation","Unit type","Type of adjustment","Time Period","1940-Q2","1940-Q3","1940-Q4","1941-Q1","1941-Q2","1941-Q3","1941-Q4","1942-Q1","1942-Q2","1942-Q3","1942-Q4","1943-Q1","1943-Q2","1943-Q3","1943-Q4","1944-Q1","1944-Q2","1944-Q3","1944-Q4","1945-Q1","1945-Q2","1945-Q3","1945-Q4","1946-Q1","1946-Q2","1946-Q3","1946-Q4","1947-Q1","1947-Q2","1947-Q3","1947-Q4","1948-Q1","1948-Q2","1948-Q3","1948-Q4","1949-Q1","1949-Q2","1949-Q3","1949-Q4","1950-Q1","1950-Q2","1950-Q3","1950-Q4","1951-Q1","1951-Q2","1951-Q3","1951-Q4","1952-Q1","1952-Q2","1952-Q3","1952-Q4","1953-Q1","1953-Q2","1953-Q3","1953-Q4","1954-Q1","1954-Q2","1954-Q3","1954-Q4","1955-Q1","1955-Q2","1955-Q3","1955-Q4","1956-Q1","1956-Q2","1956-Q3","1956-Q4","1957-Q1","1957-Q2","1957-Q3","1957-Q4","1958-Q1","1958-Q2","1958-Q3","1958-Q4","1959-Q1","1959-Q2","1959-Q3","1959-Q4","1960-Q1","1960-Q2","1960-Q3","1960-Q4","1961-Q1","1961-Q2","1961-Q3","1961-Q4","1962-Q1","1962-Q2","1962-Q3","1962-Q4","1963-Q1","1963-Q2","1963-Q3","1963-Q4","1964-Q1","1964-Q2","1964-Q3","1964-Q4","1965-Q1","1965-Q2","1965-Q3","1965-Q4","1966-Q1","1966-Q2","1966-Q3","1966-Q4","1967-Q1","1967-Q2","1967-Q3","1967-Q4","1968-Q1","1968-Q2","1968-Q3","1968-Q4","1969-Q1","1969-Q2","1969-Q3","1969-Q4","1970-Q1","1970-Q2","1970-Q3","1970-Q4","1971-Q1","1971-Q2","1971-Q3","1971-Q4","1972-Q1","1972-Q2","1972-Q3","1972-Q4","1973-Q1","1973-Q2","1973-Q3","1973-Q4","1974-Q1","1974-Q2","1974-Q3","1974-Q4","1975-Q1","1975-Q2","1975-Q3","1975-Q4","1976-Q1","1976-Q2","1976-Q3","1976-Q4","1977-Q1","1977-Q2","1977-Q3","1977-Q4","1978-Q1","1978-Q2","1978-Q3","1978-Q4","1979-Q1","1979-Q2","1979-Q3","1979-Q4","1980-Q1","1980-Q2","1980-Q3","1980-Q4","1981-Q1","1981-Q2","1981-Q3","1981-Q4","1982-Q1","1982-Q2","1982-Q3","1982-Q4","1983-Q1","1983-Q2","1983-Q3","1983-Q4","1984-Q1","1984-Q2","1984-Q3","1984-Q4","1985-Q1","1985-Q2","1985-Q3","1985-Q4","1986-Q1","1986-Q2","1986-Q3","1986-Q4","1987-Q1","1987-Q2","1987-Q3","1987-Q4","1988-Q1","1988-Q2","1988-Q3","1988-Q4","1989-Q1","1989-Q2","1989-Q3","1989-Q4","1990-Q1","1990-Q2","1990-Q3","1990-Q4","1991-Q1","1991-Q2","1991-Q3","1991-Q4","1992-Q1","1992-Q2","1992-Q3","1992-Q4","1993-Q1","1993-Q2","1993-Q3","1993-Q4","1994-Q1","1994-Q2","1994-Q3","1994-Q4","1995-Q1","1995-Q2","1995-Q3","1995-Q4","1996-Q1","1996-Q2","1996-Q3","1996-Q4","1997-Q1","1997-Q2","1997-Q3","1997-Q4","1998-Q1","1998-Q2","1998-Q3","1998-Q4","1999-Q1","1999-Q2","1999-Q3","1999-Q4","2000-Q1","2000-Q2","2000-Q3","2000-Q4","2001-Q1","2001-Q2","2001-Q3","2001-Q4","2002-Q1","2002-Q2","2002-Q3","2002-Q4","2003-Q1","2003-Q2","2003-Q3","2003-Q4","2004-Q1","2004-Q2","2004-Q3","2004-Q4","2005-Q1","2005-Q2","2005-Q3","2005-Q4","2006-Q1","2006-Q2","2006-Q3","2006-Q4","2007-Q1","2007-Q2","2007-Q3","2007-Q4","2008-Q1","2008-Q2","2008-Q3","2008-Q4","2009-Q1","2009-Q2","2009-Q3","2009-Q4","2010-Q1","2010-Q2","2010-Q3","2010-Q4","2011-Q1","2011-Q2","2011-Q3","2011-Q4","2012-Q1","2012-Q2","2012-Q3","2012-Q4","2013-Q1","2013-Q2","2013-Q3","2013-Q4","2014-Q1","2014-Q2","2014-Q3","2014-Q4","2015-Q1","2015-Q2","2015-Q3","2015-Q4","2016-Q1","2016-Q2","2016-Q3"
"Q:Quarterly","4T:Emerging market economies","C:Non financial sector","A:All sectors","M:Market value","770:Percentage of GDP","A:Adjusted for breaks","Q:4T:C:A:M:770:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112","115.4","117.9","117.6","121.3","122.6","127.7","127.7","125.7","125.4","121","120.7","123.7","120.7","118","116.7","114.9","116.7","115.3","115.3","116.9","118.1","120.2","121.2","120.5","120.1","118.6","110","107.6","114","129.5","140.7","141","138.7","135.1","139.1","138.8","139.4","139","130.3","131.3","135.9","135.6","141.5","144.7","148.1","148","150.9","153.3","155.5","160.7","159","158.4","161.7","168.2","168.7","174.4","184.8","187.2","190"
"Q:Quarterly","4T:Emerging market economies","C:Non financial sector","A:All sectors","M:Market value","799:Percentage of GDP (using PPP exchange rates)","A:Adjusted for breaks","Q:4T:C:A:M:799:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112.1","113","116.8","120.4","120.4","117.4","118.5","120","120","116.6","116.6","116.4","116.4","113.1","111.9","112","112.1","110.9","111.8","111.7","112.1","110","111.8","113.5","113.8","109.6","110.6","112.1","116.1","121.2","126.2","130.6","132.2","127.7","130.1","131.6","133.3","128.5","130","131.7","134","133","136","137.8","140.9","142.5","145.8","148.5","150.4","151.7","154","155.6","158.8","160.9","163.3","166.7","170.3","171.8","173.7","175.2"
"Q:Quarterly","4T:Emerging market economies","C:Non financial sector","A:All sectors","M:Market value","USD:US Dollar","A:Adjusted for breaks","Q:4T:C:A:M:USD:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6748.574","6956.47","7175.061","7223.843","7531.111","7747.411","8265.37","8550.812","8757.64","9138.008","9160.642","9481.107","10151.449","10335.578","10554.995","10926.991","11195.716","11851.576","12178.65","12649.614","13344.066","14026.667","14994.186","15918.453","16825.262","17830.928","18708.945","18260.873","17751.03","18164.659","19964.367","21261.131","22164.3","23186.778","23733.708","25484.903","26566.301","27957.835","29402.132","28861.433","29797.189","31518.59","31613.678","33183.371","34565.796","35966.159","36659.516","37979.147","39130.533","39941.951","41687.424","41847.581","41693.213","42235.142","43503.253","42685.971","43473.346","45602.465","46029.723","47109.039"
"Q:Quarterly","4T:Emerging market economies","G:General government","A:All sectors","N:Nominal value","770:Percentage of GDP","A:Adjusted for breaks","Q:4T:G:A:N:770:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4","42","42.1","41.8","43.1","43.7","45.8","45.7","45.3","45.1","42.9","42.9","44","42.9","41.4","40.3","38.8","38.9","37.4","37","37","37.3","37.7","37.5","37.3","36.2","35.5","31.7","30.9","32.1","37.2","40.9","41.4","40.5","39.1","40.2","39.9","39.8","39.5","36","35.8","37","36.2","37.5","38","38.3","37.5","37.7","38.4","38.9","40.1","39.3","39.2","39.6","41.4","41.2","42.4","45.3","46.5","47.5"
"Q:Quarterly","4T:Emerging market economies","G:General government","A:All sectors","N:Nominal value","799:Percentage of GDP (using PPP exchange rates)","A:Adjusted for breaks","Q:4T:G:A:N:799:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.5","46.5","48.4","50.3","49.9","47.4","47.2","47.8","47.7","45.5","45.4","45.1","44.8","42.9","41.7","41","40.5","38.8","38.5","37.9","37.5","36.4","36.6","36.6","36.5","34.2","34","33.8","35.5","35.9","37.3","38.8","39.5","37.7","38.2","38.4","38.6","37","37.3","37.7","38.2","37.3","37.9","38.1","38.7","38.3","38.9","39.5","40.3","40","40.5","41","42","42.4","43.1","44.2","45.1","45.2","46","46.7"
"Q:Quarterly","4T:Emerging market economies","G:General government","A:All sectors","N:Nominal value","USD:US Dollar","A:Adjusted for breaks","Q:4T:G:A:N:USD:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2496.721","2531.864","2563.319","2570.049","2676.591","2762.02","2964.109","3058.167","3155.056","3284.922","3247.295","3369.385","3610.825","3668.51","3705.013","3777.737","3784.093","3947.645","3952.142","4054.656","4225.007","4429.561","4705.149","4929.945","5206.676","5374.079","5592.643","5260.366","5090.892","5120.964","5730.577","6175.791","6509.726","6764.746","6868.069","7370.913","7626.583","7983.013","8360.707","7980.893","8120.133","8579.137","8450.203","8794.472","9072.743","9304.993","9282.818","9500.416","9797.428","9990.657","10410.012","10342.974","10328.303","10347.047","10697.593","10412.158","10559.272","11174.249","11426.671","11766.824"
"Q:Quarterly","4T:Emerging market economies","H:Households & NPISHs","A:All sectors","M:Market value","770:Percentage of GDP","A:Adjusted for breaks","Q:4T:H:A:M:770:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.9","22.6","20.8","19.8","20","22.9","25.3","25.6","25.7","25.1","26.4","26.6","26.8","26.9","25.1","25.4","26.1","26","27.4","28.2","28.6","28.6","29.4","29.8","30","31","30.6","30","30.3","31.6","31.4","32.4","34.4","35.3","36.6"
"Q:Quarterly","4T:Emerging market economies","H:Households & NPISHs","A:All sectors","M:Market value","799:Percentage of GDP (using PPP exchange rates)","A:Adjusted for breaks","Q:4T:H:A:M:799:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3","19.5","19.8","20.1","20.3","21.1","22.1","22.6","22.4","23","23.6","24.1","23.5","23.9","24.3","24.7","24.4","25","25.5","26.1","26.4","27.2","27.8","28.1","28.1","28.5","28.8","29.2","29.3","29.8","30.3","30.7","31","31.8","32.5"
"Q:Quarterly","4T:Emerging market economies","H:Households & NPISHs","A:All sectors","M:Market value","USD:US Dollar","A:Adjusted for breaks","Q:4T:H:A:M:USD:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3405.923","3558.231","3445.407","3259.502","3189.968","3531.8","3825.132","4028.516","4300.757","4407.357","4830.645","5084.307","5369.329","5699.718","5559.599","5760.099","6051.91","6068.342","6423.937","6724.642","6932.294","7095.723","7408.219","7621.181","7717.668","8050.081","8042.376","7908.016","7918.948","8165.658","7950.679","8066.215","8483.335","8684.534","9068.776"
"Q:Quarterly","4T:Emerging market economies","N:Non-financial corporations","A:All sectors","M:Market value","770:Percentage of GDP","A:Adjusted for breaks","Q:4T:N:A:M:770:A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.7","60.4","57.4","56.7","61.5","69","74.1","73.5","72","70.5","72.1","72.1","72.5","72.2","68.9","69.9","72.6","73","76.3","78.2","81.1","81.7","83.6","84.9","86.4","89.4","89","88.9","91.6","95.2","96.1","99.6","105.1","105.4","105.9"
